RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
RG	s53788	chr2	233743494	235709092	1965599	513	45.9
RG	s53801	chr2	10723067	10847478	124412	119	20.3
RG	s53801	chr2	168932545	169569107	636563	673	19.3
RG	s53801	chr2	178834093	182146990	3312898	647	41.5
RG	s53801	chr2	182718062	182994741	276680	213	18.6
RG	s53801	chr2	184866280	186495368	1629089	343	57.5
RG	s53801	chr2	200593274	200812786	219513	145	27.5
RG	s53801	chr2	204965241	206004420	1039180	197	12.3
RG	s53801	chr2	207724713	208180656	455944	188	13.8
RG	s53801	chr2	213147683	214968691	1821009	245	10.5
RG	s53801	chr2	214975690	215943348	967659	444	16.4
RG	s53801	chr2	240630037	241030262	400226	335	21.1
RG	s53808	chr2	1791772	1886298	94527	43	5.3
RG	s53808	chr2	15353471	15700381	346911	356	30.4
RG	s53808	chr2	25091298	25419298	328001	215	6.1
RG	s53808	chr2	27368799	28232987	864189	959	50.2
RG	s53808	chr2	38066860	38986117	919258	587	30.0
RG	s53808	chr2	62673908	63842094	1168187	310	22.8
RG	s53808	chr2	68775149	69102705	327557	197	10.3
RG	s53808	chr2	70808950	70900696	91747	97	22.2
RG	s53808	chr2	112721398	113577608	856211	629	50.6
RG	s53808	chr2	113667488	119546244	5878757	1019	46.8
RG	s53808	chr2	131480713	131506220	25508	77	26.7
RG	s53808	chr2	165874846	166198608	323763	331	29.0
RG	s53808	chr2	173909890	174459987	550098	259	27.7
RG	s53808	chr2	182834918	183124256	289339	207	5.2
RG	s53808	chr2	200876848	201257992	381145	328	8.9
RG	s53808	chr2	215311988	215375147	63160	162	13.5
RG	s53808	chr2	221425885	222599867	1173983	227	38.6
RG	s53808	chr2	232520331	232735052	214722	229	34.6
RG	s53840	chr2	169289151	169800890	511740	342	17.0
RG	s53840	chr2	227352544	229767552	2415009	299	10.3
RG	s53840	chr2	233288791	233509988	221198	193	17.8
RG	s53854	chr2	43871979	44704238	832260	378	5.6
RG	s53854	chr2	50236768	53919177	3682410	358	14.8
RG	s53854	chr2	70809138	71348842	539705	352	11.6
RG	s53904	chr2	3575649	3726800	151152	195	14.4
RG	s53904	chr2	8858494	9497202	638709	411	24.5
RG	s53904	chr2	31174830	31260442	85613	173	14.1
RG	s53904	chr2	99551389	100414872	863484	265	16.6
RG	s53904	chr2	112001064	112584474	583411	505	21.1
RG	s53904	chr2	152575283	153478061	902779	264	22.9
RG	s53904	chr2	170929625	171690099	760475	324	23.8
RG	s53904	chr2	177816736	178537968	721233	541	54.6
RG	s53904	chr2	178540151	178606982	66832	406	49.7
RG	s53904	chr2	178629223	178732433	103211	628	34.5
RG	s53904	chr2	184866336	185547236	680901	44	8.8
RG	s53904	chr2	208161008	208271687	110680	142	18.6
RG	s53904	chr2	218217468	218323317	105850	237	6.3
RG	s53904	chr2	218608011	218959911	351901	552	24.5
RG	s53904	chr2	226794921	229585741	2790821	1221	62.2
RG	s53904	chr2	229714089	236363693	6649605	4526	68.2
RG	s53904	chr2	238225000	238848354	623355	317	32.2
RG	s53950	chr2	1540507	1791153	250647	146	26.6
RG	s53950	chr2	29121304	29225544	104241	130	16.5
RG	s53950	chr2	50898510	53604774	2706265	33	11.3
RG	s53963	chr2	159728990	159885081	156092	217	9.7
RG	s53963	chr2	166198860	166303033	104174	130	7.0
RG	s53963	chr2	209653191	209905021	251831	219	30.3
RG	s53963	chr2	237324767	237363348	38582	162	31.4
RG	s53963	chr2	239352670	240479520	1126851	242	24.4
RG	s53963	chr2	241320199	242122263	802065	545	19.5
RG	s53969	chr2	10771834	11610624	838791	414	26.0
RG	s53972	chr2	3257093	3484554	227462	158	29.3
RG	s53972	chr2	15353471	15591735	238265	215	47.2
RG	s53972	chr2	54526616	54813067	286452	244	7.4
RG	s53972	chr2	54928414	55519733	591320	536	8.5
RG	s53972	chr2	86065376	86441965	376590	404	22.2
RG	s53972	chr2	96325607	96631176	305570	254	7.0
RG	s53972	chr2	100370496	100904523	534028	173	15.3
RG	s53972	chr2	169220404	169288874	68471	165	24.3
RG	s53972	chr2	170335574	170498513	162940	129	5.2
RG	s53972	chr2	227007474	227054436	46963	99	16.8
RG	s53972	chr2	233828726	233979999	151274	258	20.3
RG	s53972	chr2	239895201	240126500	231300	171	35.0
RG	s53979	chr2	5692941	8682136	2989196	96	22.1
RG	s53979	chr2	96114897	96240223	125327	98	19.9
RG	s53979	chr2	136882102	137964395	1082294	146	7.4
RG	s53985	chr2	15504092	15940500	436409	173	21.0
RG	s53985	chr2	16553027	17759914	1206888	212	34.9
RG	s53985	chr2	85387177	85599009	211833	231	21.7
RG	s53985	chr2	88557637	94871429	6313793	299	13.1
RG	s53985	chr2	96797134	98644135	1847002	834	19.6
RG	s53985	chr2	102338193	110097546	7759354	1275	45.3
RG	s53985	chr2	110768515	112321766	1553252	460	26.8
RG	s53985	chr2	113072596	113890250	817655	252	32.0
RG	s53985	chr2	118977583	119862623	885041	362	27.9
RG	s53985	chr2	219539577	219597826	58250	166	19.9
RG	s53988	chr2	1367355	1633959	266605	160	24.3
RG	s53988	chr2	3778729	24010319	20231591	4593	64.1
RG	s53988	chr2	24021619	28597774	4576156	4320	68.9
RG	s53988	chr2	36849340	37167876	318537	442	17.5
RG	s53988	chr2	46346704	46758405	411702	243	23.7
RG	s53988	chr2	89914145	91486795	1572651	224	51.2
RG	s53988	chr2	105296478	105854871	558394	100	21.8
RG	s53988	chr2	108247150	108607137	359988	307	31.9
RG	s53988	chr2	127257469	127559619	302151	314	26.8
RG	s53988	chr2	127608697	127701384	92688	254	11.6
RG	s53988	chr2	159382743	159804984	422242	214	13.7
RG	s53988	chr2	159850033	160940818	1090786	475	19.6
RG	s53988	chr2	166035939	166198608	162670	127	6.7
RG	s53988	chr2	169181452	169256026	74575	210	16.6
RG	s53988	chr2	169800972	170178169	377198	288	26.7
RG	s53988	chr2	218135007	218323497	188491	289	28.7
RG	s53988	chr2	227237851	227251058	13208	55	10.0
RG	s53988	chr2	233822161	233926426	104266	169	29.4
RG	s53988	chr2	237566870	237585320	18451	58	6.9
RG	s53988	chr2	237748231	237757531	9301	52	12.5
RG	s53988	chr2	237758745	237813541	54797	107	23.1
RG	s53992	chr2	41366	669524	628159	141	26.4
RG	s53992	chr2	26172155	26401820	229666	353	48.5
RG	s53992	chr2	46974639	47086906	112268	120	41.7
RG	s53992	chr2	68284350	68645733	361384	163	10.0
RG	s53992	chr2	89914145	91486795	1572651	232	55.3
RG	s53992	chr2	110069935	110638072	568138	112	8.7
RG	s53992	chr2	148875582	149437629	562048	165	8.6
RG	s53992	chr2	169181452	169256026	74575	210	16.6
RG	s53992	chr2	169800972	170178169	377198	290	26.7
RG	s53992	chr2	217704009	217879180	175172	192	27.9
RG	s53992	chr2	219531686	219570086	38401	241	46.2
RG	s53992	chr2	227611293	228016287	404995	227	16.3
RG	s53992	chr2	232520331	232605998	85668	191	30.9
RG	s54003	chr2	10577447	10837317	259871	311	43.8
RG	s54003	chr2	15353471	15591735	238265	215	8.4
RG	s54003	chr2	20447456	29225544	8778089	5849	66.8
RG	s54003	chr2	29275006	33360442	4085437	1895	62.3
RG	s54003	chr2	33515122	35471340	1956219	150	14.3
RG	s54003	chr2	43888573	44201103	312531	217	42.9
RG	s54003	chr2	53670388	54254820	584433	417	29.3
RG	s54003	chr2	62501292	63842094	1340803	333	11.2
RG	s54003	chr2	74414261	75049231	634971	776	20.0
RG	s54003	chr2	86144394	86603796	459403	325	32.2
RG	s54003	chr2	100284290	100470337	186048	139	14.6
RG	s54003	chr2	108293535	108781177	487643	368	6.6
RG	s54003	chr2	112721398	113577628	856231	620	50.2
RG	s54003	chr2	113612069	128268131	14656063	3414	59.5
RG	s54003	chr2	130107949	130338900	230952	301	48.0
RG	s54003	chr2	130463041	132644816	2181776	849	54.5
RG	s54003	chr2	166039334	167135776	1096443	478	48.5
RG	s54003	chr2	169872387	170178169	305783	189	38.9
RG	s54003	chr2	230357732	230440476	82745	127	19.1
RG	s54003	chr2	232014850	232378624	363775	145	34.7
RG	s54004	chr2	9933705	10419691	485987	222	23.1
RG	s54004	chr2	15353471	15591735	238265	215	7.3
RG	s54004	chr2	19352170	20202177	850008	297	12.4
RG	s54004	chr2	24049775	24836876	787102	600	13.1
RG	s54004	chr2	30911132	31260442	349311	272	23.4
RG	s54004	chr2	68945438	69861213	915776	576	28.3
RG	s54004	chr2	70978846	71068448	89603	76	3.6
RG	s54004	chr2	86144394	86603796	459403	326	31.9
RG	s54004	chr2	96265457	96684216	418760	510	10.5
RG	s54004	chr2	99147410	99551292	403883	379	16.8
RG	s54004	chr2	111792620	112370044	577425	540	43.9
RG	s54004	chr2	119680854	120278405	597552	255	11.7
RG	s54004	chr2	127942176	128268131	325956	302	4.3
RG	s54004	chr2	137405599	137964395	558797	116	14.3
RG	s54004	chr2	158456088	158795370	339283	154	25.6
RG	s54004	chr2	175074558	175930004	855447	91	21.9
RG	s54004	chr2	190199887	190534461	334575	251	35.4
RG	s54004	chr2	201258133	201535741	277609	346	12.5
RG	s54004	chr2	206004420	206410052	405633	268	6.0
RG	s54004	chr2	233032728	233263130	230403	222	25.9
RG	s54021	chr2	198083912	199272613	1188702	42	6.5
RG	s54093	chr2	17649363	17930918	281556	230	15.8
RG	s54093	chr2	19352170	20202177	850008	298	14.1
RG	s54093	chr2	28597789	28935470	337682	332	10.0
RG	s54093	chr2	32628239	33243579	615341	209	11.5
RG	s54093	chr2	44704354	68293906	23589553	6300	63.0
RG	s54093	chr2	68317055	71068448	2751394	1680	54.2
RG	s54093	chr2	71109958	72718157	1608200	810	60.2
RG	s54093	chr2	73385989	73813420	427432	446	18.0
RG	s54093	chr2	86065376	86441965	376590	403	20.5
RG	s54093	chr2	110069935	110638072	568138	112	8.6
RG	s54093	chr2	117814722	118834107	1019386	294	16.9
RG	s54093	chr2	127187428	127626928	439501	493	57.4
RG	s54093	chr2	127629706	127977878	348173	352	37.6
RG	s54093	chr2	132714762	132860362	145601	91	8.8
RG	s54093	chr2	136882086	152618739	15736654	3064	56.9
RG	s54093	chr2	152622615	178431922	25809308	9361	61.7
RG	s54093	chr2	178458691	180981986	2523296	2165	76.5
RG	s54093	chr2	189067990	189441578	373589	136	33.3
RG	s54093	chr2	202635246	203867909	1232664	740	10.5
RG	s54093	chr2	218217468	218398164	180697	441	20.3
RG	s54093	chr2	218640742	219146626	505885	746	45.2
RG	s54093	chr2	230996133	231206156	210024	221	19.0
RG	s54093	chr2	239943102	240139054	195953	221	32.3
RG	s54692	chr2	241235357	241723066	487710	433	34.5
RG	s56057	chr2	3603726	3767660	163935	207	28.9
RG	s56057	chr2	26098634	26309166	210533	232	43.5
RG	s56057	chr2	28994943	29064842	69900	122	50.2
RG	s56057	chr2	31078868	31260442	181575	200	63.3
RG	s56057	chr2	38666042	38837568	171527	177	5.2
RG	s56057	chr2	38843248	39175865	332618	323	50.8
RG	s56057	chr2	69135029	69893858	758830	462	13.7
RG	s56057	chr2	104379071	105241748	862678	70	13.5
RG	s56057	chr2	108252293	108839360	587068	470	16.9
RG	s56057	chr2	152098576	153478061	1379486	359	31.9
RG	s56057	chr2	156476102	157737393	1261292	288	5.9
RG	s56057	chr2	161318779	162143085	824307	343	17.7
RG	s56057	chr2	188477667	189034024	556358	268	24.5
RG	s56057	chr2	205401023	206004239	603217	157	18.3
RG	s56057	chr2	214410108	214986522	576415	248	31.3
RG	s56057	chr2	226864684	227062454	197771	178	39.5
RG	s56057	chr2	241081596	241229522	147927	461	30.3
RG	s56057	chr2	241246637	241666527	419891	471	28.0
RG	s56081	chr2	19973592	21137409	1163818	545	33.3
RG	s56081	chr2	25845214	26401975	556762	361	8.6
RG	s56081	chr2	31114841	31414504	299664	307	14.4
RG	s56081	chr2	33110744	33584927	474184	241	20.7
RG	s56081	chr2	36544336	36849405	305070	138	11.3
RG	s56081	chr2	43279674	43731396	451723	275	27.5
RG	s56081	chr2	87118472	88947301	1828830	403	19.6
RG	s56081	chr2	237708573	237813541	104969	157	25.4
RG	s57375	chr2	1839120	10572080	8732961	2012	57.2
RG	s57375	chr2	11713648	12718201	1004554	144	7.5
RG	s57375	chr2	15353471	15626963	273493	313	18.9
RG	s57375	chr2	23684604	24658797	974194	685	19.1
RG	s57375	chr2	38919537	40337360	1417824	588	21.0
RG	s57375	chr2	65069375	66358408	1289034	186	6.9
RG	s57375	chr2	111821218	113577654	1756437	1326	63.4
RG	s57375	chr2	113595229	118092871	4497643	682	37.2
RG	s57375	chr2	118842834	119601098	758265	398	53.1
RG	s57375	chr2	120222207	128268131	8045925	1988	63.6
RG	s57375	chr2	132773810	132926085	152276	91	4.5
RG	s57375	chr2	135709420	135857856	148437	259	13.0
RG	s57375	chr2	190057186	190436048	378863	186	32.1
RG	s57375	chr2	231509132	235034994	3525863	2694	60.3
RG	s57425	chr2	9841543	9933654	92112	103	9.0
RG	s57425	chr2	11713648	14633894	2920247	190	29.4
RG	s57425	chr2	27565512	28232987	667476	482	18.1
RG	s57425	chr2	53714375	54526551	812177	488	56.7
RG	s57425	chr2	71276848	71431225	154378	197	16.7
RG	s57425	chr2	88448341	88947301	498961	348	12.3
RG	s57425	chr2	110069935	110638072	568138	112	6.3
RG	s57425	chr2	127470352	127673614	203263	438	36.3
RG	s57425	chr2	130193855	130338900	145046	77	9.3
RG	s57425	chr2	165146670	165295675	149006	73	38.8
RG	s57425	chr2	168964108	169288874	324767	565	45.8
RG	s57425	chr2	195680018	196215805	535788	524	27.4
RG	s57425	chr2	219627902	221425780	1797879	112	6.8
RG	s57425	chr2	227108477	227237751	129275	73	7.2
RG	s57425	chr2	232735194	232920246	185053	228	12.4
RG	s57459	chr2	15415546	15551490	135945	130	18.3
RG	s57459	chr2	27771790	38482034	10710245	4579	59.3
RG	s57459	chr2	134502903	136114842	1611940	896	58.8
RG	s57459	chr2	136882086	143435589	6553504	1030	57.4
RG	s57459	chr2	143947122	156325656	12378535	2320	48.2
RG	s57459	chr2	157258000	161318764	4060765	1778	52.7
RG	s57459	chr2	161624689	162836512	1211824	633	20.2
RG	s57459	chr2	169479469	170178169	698701	718	49.1
RG	s57459	chr2	174334950	174481463	146514	204	18.9
RG	s57459	chr2	205722763	206410052	687290	360	6.8
RG	s57459	chr2	218959825	219207081	247257	436	29.5
RG	s57459	chr2	222474503	223051964	577462	226	24.0
RG	s57459	chr2	226988355	227108379	120025	223	35.3
RG	s57459	chr2	230759959	231002505	242547	133	6.2
RG	s57464	chr2	37167960	38564138	1396179	454	29.5
RG	s57464	chr2	42570573	43692441	1121869	338	23.7
RG	s57464	chr2	43871979	44201103	329125	206	13.8
RG	s57464	chr2	48346187	48708867	362681	237	44.1
RG	s57498	chr2	669531	5692941	5023411	759	38.5
RG	s57498	chr2	24190398	25379248	1188851	523	33.3
RG	s57498	chr2	27433577	27638289	204713	431	13.4
RG	s57498	chr2	29121304	31372450	2251147	649	29.2
RG	s57498	chr2	36378363	36716369	338007	147	13.6
RG	s57498	chr2	177616675	178336192	719518	225	20.8
RG	s57498	chr2	183128290	185547372	2419083	99	20.3
RG	s57498	chr2	189562095	189843855	281761	222	17.2
RG	s57498	chr2	191296113	191678994	382882	108	29.9
RG	s57498	chr2	201160519	201487594	327076	284	11.8
RG	s57506	chr2	28573032	28631949	58918	208	6.2
RG	s57506	chr2	31078868	31234492	155625	184	7.5
RG	s57506	chr2	46346682	46758405	411724	237	8.1
RG	s57506	chr2	88448341	89027328	578988	447	39.9
RG	s57506	chr2	98794414	99242273	447860	234	14.0
RG	s57506	chr2	100988093	101350840	362748	280	15.8
RG	s57506	chr2	135797955	136114842	316888	243	7.2
RG	s57506	chr2	169497508	169734951	237444	343	13.1
RG	s57506	chr2	216259235	216659557	400323	158	8.8
RG	s57506	chr2	233477381	233671818	194438	233	23.1
RG	s57506	chr2	236120097	236214288	94192	51	12.7
RG	s57506	chr2	240616367	240750231	133865	253	11.7
RG	s57506	chr2	240868820	240934855	66036	215	22.2
RG	s58119	chr2	237333469	237354820	21352	106	9.1
RG	s58219	chr2	66435767	68252916	1817150	196	17.6
RG	s58219	chr2	112978579	113182353	203775	117	20.5
RG	s58219	chr2	236324795	237352417	1027623	252	13.7
RG	s58219	chr2	237381124	238091242	710119	455	37.2
RG	s58219	chr2	238225395	239053135	827741	224	26.6
RG	s58226	chr2	36968550	37216177	247628	347	28.2
RG	s58266	chr2	55519797	55867012	347216	190	9.2
RG	s58266	chr2	218615812	218679118	63307	191	49.5
RG	s58302	chr2	9841543	9933654	92112	102	15.3
RG	s58302	chr2	15353471	15591735	238265	215	7.6
RG	s58302	chr2	26191306	26309166	117861	157	27.2
RG	s58302	chr2	43225044	47512076	4287033	2214	58.9
RG	s58302	chr2	47660901	66358408	18697508	4937	64.9
RG	s58302	chr2	111778597	112096988	318392	331	42.9
RG	s58302	chr2	166035939	166198608	162670	127	8.0
RG	s58302	chr2	169525560	170178169	652610	633	37.5
RG	s58302	chr2	178014247	178361563	347317	143	10.3
RG	s58302	chr2	201380358	201535741	155384	207	11.7
RG	s58302	chr2	202464993	203867909	1402917	812	17.2
RG	s58302	chr2	209982143	210434304	452162	236	11.0
RG	s58302	chr2	214932613	215311988	379376	318	25.0
RG	s58302	chr2	232378706	232520315	141610	244	21.5
RG	s58433	chr2	1453551	1744221	290671	265	6.1
RG	s58433	chr2	31174830	31260442	85613	174	70.2
RG	s58433	chr2	46479374	46821821	342448	215	8.4
RG	s58433	chr2	99284310	99551292	266983	264	7.7
RG	s58433	chr2	110069935	110638072	568138	114	8.9
RG	s58433	chr2	113117932	113132673	14742	48	18.5
RG	s58433	chr2	127673823	127942173	268351	157	11.5
RG	s58433	chr2	152611387	153478061	866675	251	9.9
RG	s58433	chr2	169800972	170335540	534569	328	5.2
RG	s58433	chr2	196292721	196967265	674545	464	47.2
RG	s58433	chr2	215367826	215428114	60289	215	10.6
RG	s58433	chr2	216259235	217703946	1444712	217	14.3
RG	s58433	chr2	230440546	230494258	53713	127	31.1
RG	s58433	chr2	233519737	233729093	209357	296	36.4
RG	s58433	chr2	237727766	237779250	51485	188	45.9
RG	s58433	chr2	239943102	240126500	183399	187	8.9
RG	s58433	chr2	240888149	240982765	94617	211	26.2
RG	s58434	chr2	15393655	17510745	2117091	413	38.0
RG	s58434	chr2	30459504	30770266	310763	155	20.3
RG	s58434	chr2	39204457	41938322	2733866	322	7.6
RG	s58434	chr2	71109958	71503019	393062	372	11.2
RG	s58434	chr2	72916787	73259006	342220	349	22.0
RG	s58434	chr2	110069935	110638072	568138	111	5.0
RG	s58434	chr2	111929060	112138535	209476	268	30.1
RG	s58434	chr2	131352890	131527783	174894	252	36.9
RG	s58434	chr2	168456607	168964096	507490	251	9.0
RG	s58434	chr2	226942652	227098573	155922	190	38.9
RG	s58434	chr2	227329685	227981615	651931	343	23.9
RG	s58434	chr2	241081596	241195590	113995	346	7.3
RG	s58438	chr2	1453551	1744221	290671	266	9.5
RG	s58438	chr2	15353471	15591735	238265	215	7.4
RG	s58438	chr2	28392765	28640843	248079	359	32.5
RG	s58438	chr2	36849340	37929209	1079870	814	28.4
RG	s58438	chr2	50898500	50963815	65316	35	10.3
RG	s58438	chr2	53670388	54359053	688666	490	52.2
RG	s58438	chr2	54526616	54813067	286452	244	10.2
RG	s58438	chr2	88782862	89027328	244467	291	39.8
RG	s58438	chr2	111929060	112074864	145805	180	45.1
RG	s58438	chr2	131352890	131470038	117149	61	20.2
RG	s58438	chr2	151512646	151610214	97569	275	16.9
RG	s58438	chr2	152549066	153478061	928996	288	29.1
RG	s58438	chr2	156325657	157533871	1208215	271	7.7
RG	s58438	chr2	219207236	219233037	25802	192	7.2
RG	s58438	chr2	219233565	219300982	67418	317	17.2
RG	s58438	chr2	227237851	227471940	234090	367	38.8
RG	s58438	chr2	230370893	230996123	625231	413	34.9
RG	s58438	chr2	232970096	233193631	223536	205	18.5
RG	s58438	chr2	233617768	233789370	171603	328	15.0
RG	s58438	chr2	241081596	241209226	127631	394	26.2
RG	s58440	chr2	41366	669524	628159	147	17.9
RG	s58440	chr2	1083444	1247106	163663	74	27.7
RG	s58440	chr2	19352170	20202177	850008	296	12.8
RG	s58440	chr2	43844394	43943642	99249	176	15.1
RG	s58440	chr2	79858113	87162945	7304833	2459	65.2
RG	s58440	chr2	98519891	98998047	478157	291	9.2
RG	s58440	chr2	100006668	100904523	897856	283	31.2
RG	s58440	chr2	151261279	151497393	236115	353	21.1
RG	s58440	chr2	152611387	154698578	2087192	316	21.5
RG	s58440	chr2	176269563	178431922	2162360	670	38.6
RG	s58440	chr2	178441670	180981986	2540317	2205	62.8
RG	s58440	chr2	216013177	222201055	6187879	4268	72.4
RG	s58440	chr2	227007474	227108379	100906	213	22.3
RG	s58440	chr2	227813900	229358517	1544618	254	37.8
RG	s58440	chr2	232756401	232970096	213696	228	12.5
RG	s58440	chr2	233712842	233729093	16252	68	54.2
RG	s58441	chr2	68813368	69070549	257182	96	9.9
RG	s58441	chr2	85283531	85599009	315479	408	37.8
RG	s58441	chr2	100284418	100482181	197764	119	21.4
RG	s58441	chr2	101383748	102212024	828277	264	18.9
RG	s58441	chr2	108247150	108449139	201990	131	29.1
RG	s58441	chr2	112775304	113182353	407050	194	20.4
RG	s58441	chr2	159374640	159941719	567080	356	17.8
RG	s58444	chr2	41366	8682064	8640699	1565	64.3
RG	s58444	chr2	10782175	10912407	130233	129	30.5
RG	s58444	chr2	27565512	27675471	109960	304	9.9
RG	s58444	chr2	39175885	39704316	528432	196	13.3
RG	s58444	chr2	54526616	54813067	286452	244	7.2
RG	s58444	chr2	60786871	61265366	478496	585	20.8
RG	s58444	chr2	70767942	70948302	180361	174	11.5
RG	s58444	chr2	86027507	86441965	414459	508	35.0
RG	s58444	chr2	130142218	130338900	196683	244	37.2
RG	s58444	chr2	159248290	159478457	230168	262	16.6
RG	s58444	chr2	159728990	160041959	312970	465	43.7
RG	s58444	chr2	201454734	201680651	225918	332	13.2
RG	s58444	chr2	233831447	234050641	219195	293	37.5
RG	s58676	chr2	10723067	10837317	114251	176	23.3
RG	s58676	chr2	62673908	63842094	1168187	308	11.1
RG	s58676	chr2	71068514	71503019	434506	439	30.0
RG	s58676	chr2	73489654	73684836	195183	210	11.2
RG	s58676	chr2	86065376	86441965	376590	405	23.9
RG	s58676	chr2	108352392	108719402	367011	264	34.6
RG	s58676	chr2	113026094	113132673	106580	137	33.0
RG	s58676	chr2	169479469	169800890	321422	439	45.8
RG	s58676	chr2	174223224	174459987	236764	174	14.1
RG	s58676	chr2	189041479	189561687	520209	397	42.9
RG	s58676	chr2	215311988	215370168	58181	146	11.8
RG	s58676	chr2	226794921	227098573	303653	271	41.0
RG	s58676	chr2	231038245	231256458	218214	215	18.0
RG	s58676	chr2	238227510	238848354	620845	303	50.0
RG	s62425	chr2	9904746	10192413	287668	252	17.4
RG	s62425	chr2	31174830	31234492	59663	160	7.0
RG	s62425	chr2	47660901	48346127	685227	178	7.9
RG	s62425	chr2	54526616	54813067	286452	244	7.5
RG	s62425	chr2	68317055	68464135	147081	80	5.5
RG	s62425	chr2	132148185	134127126	1978942	246	18.5
RG	s62425	chr2	159185762	159320128	134367	181	8.6
RG	s62425	chr2	166039334	166302967	263634	261	10.0
RG	s62425	chr2	166405486	167135776	730291	186	46.8
RG	s62425	chr2	171324110	171690099	365990	152	13.5
RG	s62425	chr2	190057186	190508993	451808	227	32.0
RG	s62425	chr2	196271151	196967265	696115	493	28.9
RG	s62425	chr2	200532924	201129817	596894	619	40.0
RG	s62425	chr2	222908787	223597337	688551	84	16.7
RG	s62425	chr2	233327174	233693023	365850	511	15.5
RG	s62425	chr2	237324767	237510535	185769	360	11.0
RG	s62425	chr2	240734789	240868545	133757	192	19.1
RG	s62657	chr2	127559700	127977878	418179	397	23.5
RG	s62657	chr2	241081598	241229552	147955	330	28.1
RG	s62799	chr2	15353471	15602446	248976	249	12.5
RG	s62799	chr2	17510782	20251533	2740752	724	52.7
RG	s62799	chr2	26727591	27123817	396227	415	25.4
RG	s62799	chr2	54642999	55175601	532603	427	22.6
RG	s62799	chr2	72465045	79085039	6619995	2611	57.7
RG	s62799	chr2	99147410	99551292	403883	378	17.0
RG	s62799	chr2	100006668	100470337	463670	159	9.4
RG	s62799	chr2	117814722	117920237	105516	96	5.9
RG	s62799	chr2	131444009	131591936	147928	252	59.5
RG	s62799	chr2	158456088	158815600	359513	170	9.4
RG	s62799	chr2	169872387	170178169	305783	189	17.9
RG	s62799	chr2	171324110	172061470	737361	361	13.5
RG	s62799	chr2	188999350	189441578	442229	384	8.6
RG	s62799	chr2	219221850	219245915	24066	190	10.3
RG	s62799	chr2	219539159	219597759	58601	231	9.3
RG	s62799	chr2	226864684	227054436	189753	137	10.0
RG	s62799	chr2	241081596	241214809	133214	420	23.8
RG	s62828	chr2	8038520	9833741	1795222	685	46.8
RG	s62828	chr2	10723067	10819166	96100	151	14.1
RG	s62828	chr2	26098634	26421242	322609	401	33.5
RG	s62828	chr2	26727591	27052929	325339	231	8.6
RG	s62828	chr2	33309413	33726988	417576	236	21.9
RG	s62828	chr2	41938328	42782732	844405	386	9.4
RG	s62828	chr2	63404150	64094689	690540	330	14.9
RG	s62828	chr2	148645078	149130857	485780	207	15.3
RG	s62828	chr2	151545867	152098471	552605	636	55.6
RG	s62828	chr2	161624689	162143085	518397	235	19.7
RG	s62828	chr2	165940940	166198608	257669	211	14.6
RG	s62828	chr2	169128828	169237007	108180	300	30.0
RG	s62828	chr2	217884950	217920040	35091	66	8.2
RG	s62828	chr2	219307614	219435288	127675	160	13.3
RG	s62828	chr2	223837588	223957323	119736	65	33.4
RG	s62828	chr2	235670685	235883293	212609	101	24.8
RG	s62828	chr2	241316500	241558600	242101	300	8.0
RG	s62829	chr2	3532245	3603635	71391	76	13.1
RG	s62829	chr2	10572144	10837317	265174	319	32.0
RG	s62829	chr2	15353471	15591735	238265	215	41.6
RG	s62829	chr2	24658851	25091187	432337	335	5.1
RG	s62829	chr2	79025877	79085039	59163	48	2.1
RG	s62829	chr2	85539177	85694158	154982	381	10.8
RG	s62829	chr2	89851804	91486795	1634992	242	26.4
RG	s62829	chr2	96266458	96684216	417759	504	10.4
RG	s62829	chr2	100006668	100562712	556045	233	22.6
RG	s62829	chr2	111792620	112019244	226625	233	42.2
RG	s62829	chr2	151357522	151551619	194098	480	16.4
RG	s62829	chr2	159320185	159815321	495137	315	35.9
RG	s62829	chr2	165874846	166311583	436738	517	37.2
RG	s62829	chr2	171522147	172427716	905570	349	13.9
RG	s62829	chr2	178572940	178756119	183180	1109	19.3
RG	s62829	chr2	184378782	191678807	7300026	2682	71.3
RG	s62829	chr2	217884950	218060560	175611	98	14.9
RG	s62829	chr2	218449285	218648543	199259	304	21.3
RG	s62829	chr2	218737776	218959819	222044	215	8.8
RG	s62829	chr2	233122156	233197885	75730	147	11.2
RG	s62829	chr2	241099839	241188486	88648	248	29.6
RG	s62920	chr2	11105540	11658355	552816	518	34.1
RG	s62920	chr2	17510782	18555347	1044566	321	16.0
RG	s62920	chr2	19352170	20202177	850008	298	14.0
RG	s62920	chr2	28392765	28593558	200794	203	21.4
RG	s62920	chr2	31234614	31525972	291359	269	9.4
RG	s62920	chr2	55175655	55291606	115952	180	30.9
RG	s62920	chr2	55308712	55867012	558301	436	41.1
RG	s62920	chr2	71109958	71453817	343860	352	9.1
RG	s62920	chr2	73519668	73901230	381563	393	27.2
RG	s62920	chr2	86144394	86441965	297572	173	11.4
RG	s62920	chr2	97511839	98092899	581061	349	35.1
RG	s62920	chr2	100006668	100470337	463670	162	11.8
RG	s62920	chr2	100968275	101252764	284490	243	22.0
RG	s62920	chr2	113599773	113890250	290478	170	7.4
