human_gene_id,human_gene_disease_id,entrez_id,gene_symbol,gene_group_id,gene_group,inheritance_pattern,inheritance_type,main_class_type,additional_class_type,additional_class_type_d,main_class_type_g,additional_class_type_g,confidence_criteria_limit_no_patient,sysid_yes_no,disease_subtype,disease_type,alternative_names,additional_references,omim_disease,gene_review,haploinsufficiency_yes_no,clinical_synopsis,human_gene_disease_remark
1022,1359,93664,CADPS2,6,"ID candidate genes","Mendelian autosomal","not sure",NULL,NULL,,,,0,1,"ASD, ID","ASD, ID",,24737869,NULL,NULL,0,"ID, ASD","2 sibs and some"
1023,1361,783,CACNB2,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"ASD, ID","ASD, ID",,24752249,NULL,NULL,0,"3 patients with ASD, no information on ID","3 patients, no information on ID"
1023,1362,783,CACNB2,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,0,"BRUGADA SYNDROME 4; BRGDA4","BRUGADA SYNDROME",,,611876,NULL,0,,
1049,2459,2823,GPM6A,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25224183,NULL,NULL,0,"1 patient with de novo duplication and learning disability and behavioural anomalies",
1050,1397,10718,NRG3,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,0,"ID/DD, ASD","ID/DD, ASD",,25217958,NULL,NULL,0,"ID/DD, ASD","2 deletions, 3 truncating mutations: 1 of them maternal, rest not tested in parents"
1051,1398,26052,DNM3,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,0,"ID/DD, ASD","ID/DD, ASD",,25217958,NULL,NULL,0,"ID/DD, ASD","3 truncating mutations: 1 of them maternal, rest not tested"
1052,1399,23191,CYFIP1,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,0,"ID/DD, ASD","ID/DD, ASD",,25217958,NULL,NULL,0,"ID/DD, ASD; gene in the 15q11.2 del/dup region, 1 truncating mutation",
1053,1400,1501,CTNND2,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,"25473103,25807484",NULL,NULL,0,"learning problems, dyslexia; mother and daughter with translocation, some patients with CNVs",
1054,1401,51385,ZNF589,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"non syndromic ID","non syndromic ID",,25405613,NULL,NULL,0,"non syndromic ID, low weight and height, strabism, moderate ID","1 family with 2 affected, missense mutation"
1055,1402,55733,HHAT,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,0,"non syndromic ID","non syndromic ID",,25405613,NULL,NULL,0,"profound ID, only few words","2 affected from 1 family, de novo missense"
1058,1406,6263,RYR3,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"epileptic encephalopathy","epileptic encephalopathy",,"25262651,30311385",NULL,NULL,0,"de novo variants in 2 patients with epileptic encephalopathy; plus de novo missense variant in 1 patient with developmental delay and additional anomalies","2 patients with de novo mutations"
1058,2715,6263,RYR3,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,ASD,ASD,,27513193,NULL,NULL,0,"comp het missense variants in a patient with ASD",
1062,1411,64599,GIGYF1,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"Developmental Disorder","Developmental Disorder",,"25363768,33057194",NULL,NULL,0,"2 patients with de novo truncating variants: ASD, 2 with low IQ; plus mutations enriched in developmental disorders","2 patients with de novo truncating mutations"
1062,3304,64599,GIGYF1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"Developmental Disorder","Developmental Disorder",,33098801,NULL,NULL,0,"comp het truncating variants in 1 patient with dystonia, developmental delay, ID, speech disorder, ASD",
1064,1413,349075,ZNF713,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,ASD,ASD,,25196122,NULL,NULL,0,"ASD in two families; CGG repeat expansion, mechanism and correlation to ASD not yet clear",
1066,1415,7430,EZR,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,ID,ID,,"25504542,28097321",NULL,NULL,0,"missense variant in 2 affected from 1 family, profound ID, no milestones, hypoplasia of copus callosum, neonatal hypotonia, joint contractures, cerebral atrophy, leukodystrophy","1 family with 2 affected; missense variant, functional tests"
1068,1417,6809,STX3,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"ID, cataract","ID, cataract",,"25358429,30237576",NULL,NULL,0,"3 affected from 1 family: congenital cataract, mild to moderate ID; plus 1 patient: developmental delay, hypotonia and nystagmus","3 affected from 1 family, missense mutation"
528,1418,4703,NEB,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25296583,NULL,NULL,0,"intellectual disability, epilepsy and early-childhood-onset generalized muscle weakness","2 affected from 1 family, misssense mutation"
528,1419,4703,NEB,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"NEMALINE MYOPATHY 2; NEM2","NEMALINE MYOPATHY",,,256030,NULL,0,,
1094,1451,84700,MYO18B,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"KFA, myopathy, mild short stature, microcephaly, and distinctive facies","Klippel-Feil syndrome",,25748484,NULL,NULL,0,"KFA, myopathy, mild short stature, microcephaly, and distinctive facies, not clear if ID",
1095,1452,51657,STYXL1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25724587,NULL,NULL,0,"moderate non-syndromic ID, epilepsy and behavioural problems","1 family, missense mutation, no functional confirmation
1"
1097,1454,5527,PPP2R5C,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25972378,NULL,NULL,0,"ID and overgrowth","1 patient
1"
1098,1455,5526,PPP2R5B,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25972378,NULL,NULL,0,"ID and overgrowth","1 patient 
1"
1099,1456,55640,FLVCR2,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"PROLIFERATIVE VASCULOPATHY AND HYDRANENCEPHALY-HYDROCEPHALY SYNDROME; PVHH","PROLIFERATIVE VASCULOPATHY AND HYDRANENCEPHALY-HYDROCEPHALY SYNDROME; PVHH",,25677735,225790,NULL,0,"usually prenatally lethal, hydranencephaly, glomerular vasculopathy in the central nervous system and retina, diffuse ischemic lesions of the brain stem, basal ganglia, and spinal cord with calcifications",
1101,1458,8131,NPRL3,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,0,"EPILEPSY, FAMILIAL FOCAL, WITH VARIABLE FOCI 3; FFEVF3","EPILEPSY, FAMILIAL FOCAL, WITH VARIABLE FOCI",,"26285051,30093711",617118,NULL,0,"2 cousin sib pairs with focal epilepsy, cortical dysplasia, mutation inherited by 2 healthy parents; 7 individuals with epilepsy but normal intelligence",
1102,1459,9900,SV2A,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,"26002053,27513193",NULL,NULL,0,"1 patient with intractable Epilepsy, Involuntary Movements, Microcephaly, and Developmental and Growth Retardation; plus hom missense in 1 patient with neurodevelopmental phenotype","1 patient
1"
1112,1471,5127,CDK16,6,"ID candidate genes","Mendelian X-linked","not sure",NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25644381,NULL,NULL,0,"ID, spastic paraplegia","1 family"
1113,1472,54908,SPDL1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"syndromic disease","syndromic disease",,25558065,NULL,NULL,0,"primary microcephaly, neonatal death","1 family , inframe deletion
1, 3"
1114,1473,112714,TUBA3E,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"central nervous system malformation","central nervous system malformation",,25558065,NULL,NULL,0,"microlissencephaly and global devleopmental delay","1 family, missense mutation"
1115,1474,54617,INO80,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25558065,NULL,NULL,0,"primary microcephaly and global developmental delay","1 family, missense mutation
1"
1116,1475,4811,NID1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25558065,NULL,NULL,0,"hydrocephalus, muscle weakness and global developmental delay","1 family, inframe splicing mutation"
1118,1477,127343,DMBX1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,"25558065,30237576",NULL,NULL,0,"2 patients with developmental delay and hypotonia; 1/2: epilepsy, hearing loss, hyperopia, and strabismus",
1119,1478,130162,CLHC1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"neuromuscular disease","neuromuscular disease",,25558065,NULL,NULL,0,myopathy,"1 family, missense mutation
1"
1121,1480,56964,WDR93,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,ASD,ASD,,25558065,NULL,NULL,0,"autism spectrum disorder","1 family, missense mutation
1"
1122,1481,8785,MATN4,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"central nervous system malformation","central nervous system malformation",,25558065,NULL,NULL,0,holoprosencephaly,"1 family, missense mutation"
1123,1482,9871,SEC24D,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25558065,NULL,NULL,0,"intellectual disability and epilepsy","1 family, missense mutation
1"
1127,1487,283635,FAM177A1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25558065,NULL,NULL,0,"macrocephaly, ID, dolichocephaly and mild obesity","1 family, fs mutation
1"
1129,1489,92154,MTSS2,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"nervous system disorder","nervous system disorder",,25558065,NULL,NULL,0,"neurodegeneration and brain iron accumulation","1 family with missense mutation
1, 5"
1130,1491,51133,KCTD3,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25558065,NULL,NULL,0,"severe psychomotor retardation, seizures, cerebellar hypoplasia","1 family, fs mutation
1"
1131,1492,8208,CHAF1B,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25558065,NULL,NULL,0,"global developmental delay and ADHD","1 family, missense mutation
1"
1135,1496,93649,MYOCD,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,"25558065,30315573",NULL,NULL,0,"missense variant in 1 family: intellectual disability and epilepsy; plus missense variant in 1 patient with severe ID",
1136,1497,55066,PDPR,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25558065,NULL,NULL,0,"global developmental delay, typical Joubert syndrome, MRI findings","1 family, missense mutation
1"
1138,1499,162461,TMEM92,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25558065,NULL,NULL,0,"cerebellar atrophy, hydrocephalus, global developmental delay","1 family splice site mutation
1"
1139,1500,64097,EPB41L4A,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"nervous system disorder","nervous system disorder",,25558065,NULL,NULL,0,"spastic paraplegia, failure to thrive","1 family, missense mutation
1"
1140,1501,158293,FAM120AOS,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"syndromic disease","syndromic disease",,25558065,NULL,NULL,0,"coarse facial features, scoliosis, pectus excavatum, skin laxity, hypotonia, GERD, chronic lung disease, undescended testicles","1 family, missense mutation
1, 5"
1142,1503,200403,VWA3B,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"ID with ataxia","intellectual disability",,26157035,NULL,NULL,0,"IQ 48-81, adult onset ataxia","1 family with 3 affected, missense mutation
1"
1143,1504,80153,EDC3,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 50; MRT50","MENTAL RETARDATION, AUTOSOMAL RECESSIVE",,"25701870,28097321",616460,NULL,0,"missense variant in 2 affected from 1 family, mild ID, microcephaly, deafness, heterochromia iridis","2 sibs from 1family, missense mtuation
1"
1146,1507,200205,IBA57,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 3; MMDS3","MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME",,,615330,NULL,0,"mitochondrial dysfunction, IUGR, microcephaly, hypotonic, MRI anomalies, dead in first days of life","2 sibs from 1 family
1, 3"
1147,1508,27247,NFU1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 1; MMDS1","MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME",,"21944046,22077971",605711,NULL,0,"systemic energy metabolism, resulting in weakness, respiratory failure, lack of neurologic development, lactic acidosis, and early death",
1149,1511,7982,ST7,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,25558065,NULL,NULL,1,"global develomental delay and brain atrophy","1 family, stopmutation; 1 patient with ASD and translocation
1"
1150,1512,3752,KCND3,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,0,"SPINOCEREBELLAR ATAXIA 19; SCA19","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE","SPINOCEREBELLAR ATAXIA 22; SCA22","26189493,28895081,30776697",607346,NULL,0,"spinocerebellar ataxia, 2 patients with de novo mutation and more severe phenotype including ID, plus 1 patient with epileptic encephalopathy",
1150,1513,3752,KCND3,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,0,"BRUGADA SYNDROME 9; BRGDA9","BRUGADA SYNDROME",,,616399,NULL,0,,
19,24,186,AGTR2,6,"ID candidate genes","Mendelian X-linked","not sure",NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",-,"12089445,23871722",NULL,NULL,0,"1 female with ID and balanced translocating silencing the gene; 1 family: moderate to severe ID, epilepsy, 2 of 9 patients autistic;  variant also in healthy males therefore likely benign",
460,708,27286,SRPX2,6,"ID candidate genes","Mendelian X-linked","not sure",5,"E, H"," E ,  H ",5," E ,  H ",0,1,"ROLANDIC EPILEPSY, MENTAL RETARDATION, AND SPEECH DYSPRAXIA, X-LINKED; RESDX","ROLANDIC EPILEPSY, MENTAL RETARDATION, AND SPEECH DYSPRAXIA, X-LINKED",-,,300643,NULL,0,"oral and speech dyspraxia, rolandic seizures, ID, both males and females affected",NULL
514,780,7592,ZNF41,6,"ID candidate genes","Mendelian X-linked","not sure",NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",-,"27457812,23871722",NULL,NULL,0,"1 girl with severe developmental delay and balanced translocation through the gene; 2 males from 1 family: later also truncating variants in healthy males, therefore questionable",
586,818,84274,COQ5,6,"ID candidate genes","Mendelian autosomal",recessive,3,NULL,,3,,1,1,"non-syndromic ID","non-syndromic ID",NULL,21937992,NULL,NULL,0,"non-syndromic severe ID","1 family with 2 affected, missense mutation"
567,795,120534,ARL14EP,6,"ID candidate genes","Mendelian autosomal",recessive,"5, 6",NULL,,"5, 6",,1,1,"non-syndromic ID","non-syndromic ID",,"21937992,26633546",NULL,NULL,0,"2 affected from 1 family: non-syndromic moderate ID; 1 patient: global developmental delay, microcephaly, truncal obesity, facial dysmorphism",
569,797,429,ASCL1,6,"ID candidate genes","Mendelian autosomal",recessive,6,NULL,,6,,1,1,"non-syndromic ID","non-syndromic ID",NULL,21937992,NULL,NULL,0,"non-syndromic moderate ID","1 family with 2 affected; missense mutation"
569,798,429,ASCL1,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,6,,0,0,"Central hypoventilation syndrome, congenital","CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL","ONDINE-HIRSCHSPRUNG DISEASE, INCLUDED; OHD, INCLUDED; CCHS WITH HIRSCHSPRUNG DISEASE, INCLUDED; HADDAD SYNDROME, INCLUDED",,209880,NULL,0,NULL,NULL
470,719,255928,SYT14,6,"ID candidate genes","Mendelian autosomal",recessive,5,"G, H, L2"," G ,  H ,  L2 ",5," G ,  H ,  L2 ",1,1,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 11; SCAR11","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE",-,21835308,614229,NULL,0,"2 brothers, 1 with mild ID, the other with severe ID, adult onset progressive gait disorder, dysarthria, ataxia, isturbance of smooth eye movements; MRI: mild atrophy of the cerebellar vermis and hemispheres",NULL
1177,1549,9970,NR1I3,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,22726846,NULL,NULL,0,"Kleefstra syndrome, 1 patient with de novo variant","1 patient with de novo variant"
1178,1550,79776,ZFHX4,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,"21802062,24038936,33057194",NULL,NULL,0,"developmental delay, macrocephaly,
ventriculomegaly,
hypermetropia, recurrent
infections, dysmorphism; 1 patient with de novo single gene deletion; several larger deletions; plus enriched in a developmental disorder study","1 patient with de novo single gene deletion; several larger deletions"
1179,1551,51084,CRYL1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,24038936,NULL,NULL,0,"mild ID, short stature, hearing loss, 1 patient with de novo single gene deletion, homozygous","1 patient with de novo single gene deletion, homozygous"
1180,1552,23245,ASTN2,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,"24038936,24381304",NULL,NULL,0,"1 patient with de novo single gene deletion: ID, epilepsy; risk factor for ASD, ADHD etc.","1 patient with de novo single gene deletion; disruption risk factor for ASD, ADHD etc. in males"
1180,2597,23245,ASTN2,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"Developmental Disorder","Developmental Disorder",,28940097,NULL,NULL,0,"1 patient: global developmental delay and several anomalies",
1181,1553,10752,CHL1,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,"24038936,26279679",NULL,NULL,1,"1: severe ID, atrial septum defect, epilepsy, tetraplegia, chryptorchidism, dysmorphism; 1: developmental delay, symptoms of hyperactivity, short attention span and speech delay, minor facial dysmorphism;
1 patient with de novo single gene deletion (plus another de novo dup), 1 patient with de novo duplication","1 patient with de novo single gene deletion (plus another de novo dup), 1 patient with de novo duplication"
1182,1554,1740,DLG2,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,"24038936,24643514,32183904",NULL,NULL,0,"1 patient with de novo single gene deletion (plus another de novo dup) and mild ID, autism, epilepsy, 1 patient with ASD; candidate gene from a large study","1 patient with de novo single gene deletion (plus another de novo dup); 1 patient with ASD"
1183,1555,344148,NCKAP5,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"epileptic encephalopathy","epileptic encephalopathy",,24038936,NULL,NULL,0,"epilepsy, hypomyelinization
1 patient with de novo single gene deletion","1 patient with de novo single gene deletion"
1184,1556,5289,PIK3C3,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,24038936,NULL,NULL,0,"mild ID, agenesis left cerebellum
1 patient with de novo single gene deletion","1 patient with de novo single gene deletion"
1185,1557,54212,SNTG1,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,24038936,NULL,NULL,0,"mild ID, cleft lip/palate, hearing loss, dysmorphism
1 patient with de novo single gene deletion, has another de novo deletion","1 patient with de novo single gene deletion, has another de novo deletion"
1186,1558,9833,MELK,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,24038936,NULL,NULL,0,"mild ID, cleft lip, skeletal anomalies, dysmorphism
1 patient with de novo single gene triplication","1 patient with de novo single gene triplication"
1188,1560,55198,APPL2,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,24896178,NULL,NULL,0,ID,"1 patient with de novo variant"
1190,1562,8019,BRD3,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,24896178,NULL,NULL,0,ID,"1 patient with de novo variant"
1191,1563,55726,INTS13,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,24896178,NULL,NULL,0,ID,"1 patient with de novo variant"
1192,1564,11060,WWP2,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,24896178,NULL,NULL,0,ID,"1 patient with de novo variant"
1193,1565,4804,NGFR,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,24896178,NULL,NULL,0,ID,"1 patient with de novo variant"
1194,1566,9945,GFPT2,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,24896178,NULL,NULL,0,ID,"1 patient with de novo variant"
1195,1567,10939,AFG3L2,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,26539208,NULL,NULL,0,"optic atrophy, mild ID
2 affected from 1 family","2 affected from 1 family"
1195,1568,10939,AFG3L2,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,0,"SPINOCEREBELLAR ATAXIA 28; SCA28","SPINOCEREBELLAR ATAXIA ",,,610246,NULL,0,,
1195,1569,10939,AFG3L2,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"SPASTIC ATAXIA 5, AUTOSOMAL RECESSIVE; SPAX5","SPASTIC ATAXIA",,,614487,NULL,0,,
1196,1570,92129,RIPPLY1,6,"ID candidate genes","Mendelian X-linked",recessive,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,26443249,NULL,NULL,0,"ID and ataxia
1 family with 2 affected brothers","1 family with 2 affected brothers"
1197,1571,124995,MRPL10,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,26443249,NULL,NULL,0,"ID and ataxia
1 family with 2 affected","1 family with 2 affected"
1198,1572,81562,LMAN2L,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,1,1,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 52; MRT52","MENTAL RETARDATION, AUTOSOMAL RECESSIVE",,26566883,616887,NULL,0,"severe ID and infantile epilepsy.
missense mutation segregating in 1 family","1 family"
1198,2901,81562,LMAN2L,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"Developmental Disorder","Developmental Disorder",,31020005,NULL,NULL,0,"1 family with dominant epilepsy and variable cognitive impairment",
1199,1573,1476,CSTB,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,0,"MYOCLONIC EPILEPSY OF UNVERRICHT AND LUNDBORG","MYOCLONIC EPILEPSY OF UNVERRICHT AND LUNDBORG",,26437029,254800,NULL,0,"onset of neurodegeneration between 6 and 13, stabilisation in adulthood, no or only minimal cognitive decline; cognition normal, neurodegeneration",
1200,1574,8851,CDK5R1,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,"26657932,30733659",NULL,NULL,0,"ID risk factor? plus 1 patient with deletion and high-functioning autism",
1201,1662,1020,CDK5,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"LISSENCEPHALY 7 WITH CEREBELLAR HYPOPLASIA; LIS7",LISSENCEPHALY,,,616342,NULL,0,"1 family: lethal brain malformations",
1201,1663,1020,CDK5,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,26657932,NULL,NULL,0,"ID, risk factor?",
1202,1575,23189,KANK1,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 2; CPSQ2","CEREBRAL PALSY, SPASTIC QUADRIPLEGIC",,"23454270,16301218,29729439,26539891",612900,NULL,0,"1 family, controversial report: quadriplegia and ID, imprinting;  1 patient with homozygous variant and ID, cerebral atrophy, CCD, hypotonia, hyperpigmentation (plus several CNVs associated with autism spectrum disorder)",
1203,1576,5746,PTH2R,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,26044810,NULL,NULL,0,"craniosynostosis and developmental delay","1 patient, de novo translocation"
1204,1577,1650,DDOST,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ir; CDG1R","CONGENITAL DISORDER OF GLYCOSYLATION",,,614507,NULL,0,"failure to thrive, developmental delay, ear infections, and oromotor dysfunction. Hypotonia, strabismus, liver dysfunction
1 patient","1 patient"
1206,1579,326625,MMAB,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,0,1,"METHYLMALONIC ACIDURIA, cblB TYPE","METHYLMALONIC ACIDURIA",,,251110,NULL,0,"very variable symptoms, 1 patient with severe encephalopathy, some asymptomatic; ID questionable",
1207,1580,472,ATM,6,"ID candidate genes","Mendelian autosomal",recessive,NULL,NULL,,,,1,1,"ATAXIA-TELANGIECTASIA; AT",ATAXIA-TELANGIECTASIA,,,208900,NULL,1,"progressive cerebellar ataxia and later develop conjunctival telangiectases, other progressive neurologic degeneration, sinopulmonary infection, and malignancies; ID questionable, neurodegenerative",
1215,1590,144568,A2ML1,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"syndromic disease","syndromic disease",,,NULL,NULL,0,"1 patient: Noonan like","1 patient"
1240,1618,5454,POU3F2,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,26833329,NULL,NULL,0,"Obesity and Variable Developmental Delay with Intellectual Disability; overlapping gene in several small deletions",
1241,1619,6594,SMARCA1,6,"ID candidate genes","Mendelian X-linked","not sure",NULL,NULL,,,,1,1,"intellectual disability","intellectual disability",,"26740508,26539891",NULL,NULL,0,"1 patient: classical Rett syndrome symptoms; 1 patient: ID, microcephaly, spasticity, cortical atrophy, Coffin-Syris-like dysmorphic features",
1243,1621,1981,EIF4G1,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"intellectual disability","intellectual disability",,26740508,NULL,NULL,0,"1 patient: Rett-like phenotype, additionally de novo variant in RHOBTB2",
1245,1623,4756,NEO1,6,"ID candidate genes","Mendelian autosomal",dominant,NULL,NULL,,,,0,1,"autism spectrum disorder","autism spectrum disorder",,26518331,NULL,NULL,0,"2 patients with autism spectrum disorders and compound heterozygous variants",
1246,1624,2742,GLRA2,6,"ID candidate genes","Mendelian X-linked","not sure",NULL,NULL,,,,0,1,"autism spectrum disorder","autism spectrum disorder",,26370147,NULL,NULL,0,"2 patients with deletion or missense variant",
